,현장명,일시,신호횟수,운영시간,녹색시간,통과보행자,보행시간,보행자분류_일반,보행자분류_적색횡단,보행자분류_무단횡단,연장_횟수,연장_시간,연장_보행자,교통약자_목발,교통약자_휠체어,교통약자_유모차,교통약자_합계,잔여,보도길이,보행속도,시간,월,요일(0~6)
55,자운학교앞(5),2022-05-20 21:00:00,23,3583,953,45,21.625,33,3,0,5,25,6,2,5,1,8,2,35,1.61849710982659,21,5,4
56,자운학교앞(5),2022-05-20 22:00:00,24,3597,975,34,25.25,21,3,0,3,12,6,0,2,1,3,0,35,1.386138613861386,22,5,4
57,자운학교앞(5),2022-05-20 23:00:00,24,3600,962,14,23.5,10,3,0,1,1,1,0,3,1,4,0,35,1.48936170212766,23,5,4
58,자운학교앞(5),2022-05-21 00:00:00,24,3601,957,9,30.3,6,3,0,0,0,0,0,0,1,1,0,35,1.155115511551155,0,5,5
59,자운학교앞(5),2022-05-21 01:00:00,24,3600,960,5,29.5,3,1,0,1,1,1,1,0,0,1,0,35,1.186440677966102,1,5,5
60,자운학교앞(5),2022-05-21 02:00:00,24,3600,962,2,17.0,1,1,0,0,0,0,0,1,0,1,0,35,2.058823529411764,2,5,5
61,자운학교앞(5),2022-05-21 03:00:00,24,3600,960,2,28.5,2,0,0,0,0,0,0,0,0,0,0,35,1.228070175438597,3,5,5
62,자운학교앞(5),2022-05-21 04:00:00,24,3600,960,1,36.0,1,0,0,0,0,0,0,0,0,0,0,35,0.9722222222222222,4,5,5
63,자운학교앞(5),2022-05-21 05:00:00,24,3600,973,31,26.0,9,2,0,2,11,9,0,0,0,0,3,35,1.346153846153846,5,5,5
64,자운학교앞(5),2022-05-21 06:00:00,21,3530,850,19,29.64285714,11,0,0,2,12,4,1,1,0,2,3,35,1.18072289168007,6,5,5
65,자운학교앞(5),2022-05-21 07:00:00,21,3570,850,30,27.0,23,3,0,1,10,3,2,2,0,4,1,35,1.296296296296296,7,5,5
66,자운학교앞(5),2022-05-21 08:00:00,22,3741,895,27,28.05555556,23,1,0,2,11,2,0,3,1,4,0,35,1.24752475227762,8,5,5
67,자운학교앞(5),2022-05-21 09:00:00,23,3560,936,40,28.45,33,1,0,3,12,3,1,2,3,6,0,35,1.230228471001757,9,5,5
68,자운학교앞(5),2022-05-21 10:00:00,24,3600,975,63,27.20833333,51,1,0,2,10,5,1,4,1,6,0,35,1.286370597401087,10,5,5
69,자운학교앞(5),2022-05-21 11:00:00,24,3600,975,63,26.66666667,54,0,0,3,14,6,1,6,2,9,0,35,1.312499999835937,11,5,5
70,자운학교앞(5),2022-05-21 12:00:00,24,3602,965,56,27.5,53,0,0,3,3,3,2,3,5,10,0,35,1.272727272727273,12,5,5
71,자운학교앞(5),2022-05-21 13:00:00,24,3598,969,44,23.38888889,37,1,0,2,10,3,0,5,2,7,0,35,1.496437054560739,13,5,5
72,자운학교앞(5),2022-05-21 14:00:00,24,3601,976,63,26.58333333,56,1,0,2,13,4,1,4,2,7,0,35,1.316614420227789,14,5,5
73,자운학교앞(5),2022-05-21 15:00:00,24,3609,987,69,25.15,53,3,0,3,17,6,3,4,1,8,1,35,1.391650099403579,15,5,5
74,자운학교앞(5),2022-05-21 16:00:00,21,3566,868,70,26.3,60,2,0,4,19,7,2,2,4,8,0,35,1.330798479087453,16,5,5
75,자운학교앞(5),2022-05-21 17:00:00,21,3567,868,70,25.55,55,1,0,7,21,12,2,4,4,10,0,35,1.36986301369863,17,5,5
76,자운학교앞(5),2022-05-21 18:00:00,21,3567,865,73,24.16666667,53,0,0,4,20,14,1,3,3,7,0,35,1.448275861869203,18,5,5
77,자운학교앞(5),2022-05-21 19:00:00,21,3570,849,73,27.16666667,67,1,0,3,6,5,2,1,2,5,0,35,1.28834355812413,19,5,5
78,자운학교앞(5),2022-05-21 20:00:00,22,3740,903,74,26.2,65,1,0,4,14,6,7,9,1,17,0,35,1.33587786259542,20,5,5
79,자운학교앞(5),2022-05-21 21:00:00,23,3581,931,36,22.27777778,32,0,0,2,8,2,0,6,0,6,0,35,1.57107231904528,21,5,5
80,자운학교앞(5),2022-05-21 22:00:00,24,3601,966,37,25.22222222,29,3,0,1,4,2,0,3,1,4,0,35,1.387665198360147,22,5,5
81,자운학교앞(5),2022-05-21 23:00:00,24,3604,964,7,21.83333333,6,0,0,1,4,1,0,1,0,1,0,35,1.603053435359245,23,5,5
82,자운학교앞(5),2022-05-22 00:00:00,24,3598,962,13,18.75,5,1,0,1,9,3,0,0,0,0,0,35,1.866666666666667,0,5,6
83,자운학교앞(5),2022-05-22 01:00:00,24,3600,959,4,10.0,1,3,0,0,0,0,0,1,0,1,0,35,3.5,1,5,6
84,자운학교앞(5),2022-05-22 02:00:00,24,3600,960,2,14.5,1,1,0,0,0,0,0,0,0,0,0,35,2.413793103448276,2,5,6
85,자운학교앞(5),2022-05-22 03:00:00,24,3600,960,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,0.0,3,5,6
86,자운학교앞(5),2022-05-22 04:00:00,24,3600,960,2,16.0,0,2,0,0,0,0,0,0,0,0,0,35,2.1875,4,5,6
87,자운학교앞(5),2022-05-22 05:00:00,24,3600,961,2,26.0,2,0,0,0,0,0,0,0,0,0,0,35,1.346153846153846,5,5,6
88,자운학교앞(5),2022-05-22 06:00:00,21,3531,835,5,30.5,2,3,0,0,0,0,0,0,0,0,0,35,1.147540983606557,6,5,6
89,자운학교앞(5),2022-05-22 07:00:00,21,3570,839,12,28.42857143,11,1,0,0,0,0,0,1,1,2,0,35,1.231155778832605,7,5,6
90,자운학교앞(5),2022-05-22 08:00:00,22,3740,887,24,29.94444444,20,3,0,1,5,1,1,1,0,2,0,35,1.16883116900465,8,5,6
91,자운학교앞(5),2022-05-22 09:00:00,23,3560,923,32,28.1,29,2,0,1,1,1,1,3,2,6,0,35,1.245551601423488,9,5,6
92,자운학교앞(5),2022-05-22 10:00:00,24,3600,973,43,26.9,39,0,0,2,12,2,0,1,1,2,0,35,1.301115241635688,10,5,6
93,자운학교앞(5),2022-05-22 11:00:00,24,3601,982,69,25.35,47,0,0,3,20,15,1,1,6,8,0,35,1.380670611439842,11,5,6
94,자운학교앞(5),2022-05-22 12:00:00,24,3600,968,61,30.45,56,0,0,3,10,5,1,5,2,8,0,35,1.149425287356322,12,5,6
95,자운학교앞(5),2022-05-22 13:00:00,24,3600,966,69,24.08333333,66,3,0,1,2,0,2,3,4,9,0,35,1.453287197432981,13,5,6
96,자운학교앞(5),2022-05-22 14:00:00,24,3600,981,73,28.66666667,63,1,0,4,11,8,1,3,5,9,0,35,1.220930232416171,14,5,6
97,자운학교앞(5),2022-05-22 15:00:00,24,3600,972,66,27.125,63,0,0,2,7,3,0,0,3,3,0,35,1.290322580645161,15,5,6
